Manuel Sanz Hidalgo,@manuelsh,Manuel.Sanz.Hidalgo@jdt.gal
Dora Suarez Vazquez,@dorasv,Dora.Suarez.Vazquez@jdt.gal
Jacobo Ramos Alvarez,@jacobora,Jacobo.Ramos.Alvarez@jdt.gal
Miguel Hernandez Duran,@miguelhd,Miguel.Hernandez.Duran@jdt.gal
Andres Hidalgo Perez,@andreshp,Andres.Hidalgo.Perez@jdt.gal
Vanesa Martinez Gallego,@vanesamg,Vanesa.Martinez.Gallego@jdt.gal
Angel Ramos Duran,@angelrd,Angel.Ramos.Duran@jdt.gal
Miguel Carrasco Parra,@miguelcp,Miguel.Carrasco.Parra@jdt.gal
Laura Montero Martin,@lauramm,Laura.Montero.Martin@jdt.gal
Alicia Gallego Perez,@aliciagp,Alicia.Gallego.Perez@jdt.gal
Aida Navarro Lozano,@aidanl,Aida.Navarro.Lozano@jdt.gal
Rafael Marquez Montero,@rafaelmm,Rafael.Marquez.Montero@jdt.gal
Adrian Alvarez Rojas,@adrianar,Adrian.Alvarez.Rojas@jdt.gal
Arturo Pastor Hernandez,@arturoph,Arturo.Pastor.Hernandez@jdt.gal
Yago Martinez Crespo,@yagomc,Yago.Martinez.Crespo@jdt.gal
Aida Garcia Velasco,@aidagv,Aida.Garcia.Velasco@jdt.gal
Javier Alonso Munoz,@javieram,Javier.Alonso.Munoz@jdt.gal
Elena Saez Benitez,@elenasb,Elena.Saez.Benitez@jdt.gal
Diego Leon Marquez,@diegolm,Diego.Leon.Marquez@jdt.gal
Federico Aguilar Martin,@federicoam,Federico.Aguilar.Martin@jdt.gal
Helena Montero Molina,@helenamm,Helena.Montero.Molina@jdt.gal
Yago Marquez Crespo,@yagomc1,Yago.Marquez.Crespo@jdt.gal
Noemi Vega Fernandez,@noemivf,Noemi.Vega.Fernandez@jdt.gal
Noemi Arias Velasco,@noemiav,Noemi.Arias.Velasco@jdt.gal
Ruben Arias Bravo,@rubenab,Ruben.Arias.Bravo@jdt.gal
Natalia Soto Gallardo,@nataliasg,Natalia.Soto.Gallardo@jdt.gal
Lucia Prieto Munoz,@luciapm,Lucia.Prieto.Munoz@jdt.gal
Ramon Pastor Perez,@ramonpp,Ramon.Pastor.Perez@jdt.gal
Leticia Ramos Vega,@leticiarv,Leticia.Ramos.Vega@jdt.gal
Belen Reyes Morales,@belenrm,Belen.Reyes.Morales@jdt.gal
Dario Vazquez Perez,@dariovp,Dario.Vazquez.Perez@jdt.gal
Juan Dominguez Carrasco,@juandc,Juan.Dominguez.Carrasco@jdt.gal
Guillermo Bravo Blanco,@guillermobb,Guillermo.Bravo.Blanco@jdt.gal
Hugo Herrero Ruiz,@hugohr,Hugo.Herrero.Ruiz@jdt.gal
Felipe Cabrera Moya,@felipecm,Felipe.Cabrera.Moya@jdt.gal
Federico Delgado Santiago,@federicods,Federico.Delgado.Santiago@jdt.gal
Eva Garcia Castro,@evagc,Eva.Garcia.Castro@jdt.gal
Jesus Arias Vazquez,@jesusav,Jesus.Arias.Vazquez@jdt.gal
Luis Cano Cano,@luiscc,Luis.Cano.Cano@jdt.gal
Cruz Herrero Alonso,@cruzha,Cruz.Herrero.Alonso@jdt.gal
Jose Lopez Medina,@joselm,Jose.Lopez.Medina@jdt.gal
Marcos Nieto Diez,@marcosnd,Marcos.Nieto.Diez@jdt.gal
Diana Alonso Flores,@dianaaf,Diana.Alonso.Flores@jdt.gal
Jose Lorenzo Ortega,@joselo,Jose.Lorenzo.Ortega@jdt.gal
Natalia Navarro Velasco,@natalianv,Natalia.Navarro.Velasco@jdt.gal
Manuel Carrasco Gil,@manuelcg,Manuel.Carrasco.Gil@jdt.gal
Hernan Gomez Ramirez,@hernangr,Hernan.Gomez.Ramirez@jdt.gal
Ruben Aguilar Martin,@rubenam,Ruben.Aguilar.Martin@jdt.gal
Alfonso Rubio Marquez,@alfonsorm,Alfonso.Rubio.Marquez@jdt.gal
Javier Caballero Blanco,@javiercb,Javier.Caballero.Blanco@jdt.gal
Oscar Blanco Ortega,@oscarbo,Oscar.Blanco.Ortega@jdt.gal
Angela Gallardo Garcia,@angelagg,Angela.Gallardo.Garcia@jdt.gal
Rafael Delgado Alonso,@rafaelda,Rafael.Delgado.Alonso@jdt.gal
Fabian Esteban Saez,@fabianes,Fabian.Esteban.Saez@jdt.gal
Nuria Pascual Hernandez,@nuriaph,Nuria.Pascual.Hernandez@jdt.gal
Manuel Sanz Gimenez,@manuelsg,Manuel.Sanz.Gimenez@jdt.gal
